Designator,Mid X,Mid Y,Rotation,Layer
C1,69.3,-69.5,180.0,top
C2,61.0,-83.5,90.0,top
C3,61.0,-101.2,90.0,top
C4,59.0,-118.5,90.0,top
C5,69.5,-118.5,90.0,top
C6,69.3125,-111.3,0.0,top
C7,58.4625,-111.3,0.0,top
CN1,59.0,-60.9,270.0,bottom
CN2,69.0,-60.9,270.0,bottom
D1,56.0,-67.225,0.0,top
D2,74.0,-84.33,90.0,top
D3,74.0,-89.33,90.0,top
D4,74.0,-79.33,90.0,top
F1,54.0,-74.225,270.0,top
J1,69.97,-137.92,180.0,bottom
J2,57.97,-137.92,180.0,bottom
L1,61.0,-92.5,270.0,top
R1,69.0,-84.5,90.0,top
R2,69.0,-89.5,90.0,top
R3,69.0,-79.5,90.0,top
RV1,62.05,-76.0,0.0,top
TP1,74.0,-60.0,90.0,top
TP2,72.0,-95.0,90.0,top
TP3,72.0,-100.0,90.0,top
TP4,72.0,-105.0,90.0,top
TP5,74.0,-64.0,90.0,top
U1,55.0,-86.0,90.0,bottom
U2,55.0,-98.0,90.0,bottom
